doc_id,file_path,title,source_url,retrieved_at,document_version,audience,category,language,license_or_permission
doi-tra-bao-hanh-cellphones-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-cellphones-buyer.md,Chính sách đổi mới và bảo hành thiết bị cho Khách hàng,https://cellphones.com.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-lazada-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-lazada-buyer.md,Hướng dẫn và quy trình bảo hành sản phẩm trên Lazada dành cho Người Mua,https://lazada.vn/helpcenter/warranty-guide,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-lazada-seller,data\ecommerce-return-policy\doi-tra-bao-hanh-lazada-seller.md,Quy trình xử lý đơn hàng và khiếu nại Trả hàng/Hoàn tiền dành cho Nhà Bán Hàng,https://sellercenter.lazada.vn/seller/helpcenter/order-processing-and-return-policy,2026-09-20,2026-v1,seller,order-return-policy,vi,public-source
doi-tra-bao-hanh-samsung-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-samsung-buyer.md,Chính sách bảo hành sản phẩm chính hãng Samsung dành cho Khách hàng,https://www.samsung.com/vn/support/warranty/,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-shopee-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-shopee-buyer.md,Chính sách và điều kiện bảo hành sản phẩm trên Shopee dành cho Người Mua,https://help.shopee.vn/portal/article/79046,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-shopee-seller,data\ecommerce-return-policy\doi-tra-bao-hanh-shopee-seller.md,Quy định giải quyết khiếu nại Trả hàng và Hoàn tiền dành cho Người Bán trên Shopee,https://banhang.shopee.vn/edu/article/10626,2026-09-20,2026-v1,seller,warranty-policy,vi,public-source
doi-tra-bao-hanh-sunhouse-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-sunhouse-buyer.md,Chính sách bảo hành và đổi trả sản phẩm SUNHOUSE dành cho Khách hàng,https://baohanhdientu.sunhouse.com.vn/Home/PolicyWarrantyNew,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-tgdd-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-tgdd-buyer.md,Chính sách bảo hành và đổi trả cho Khách hàng - Thế Giới Di Động,https://www.thegioididong.com/chinh-sach-bao-hanh-san-pham,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
doi-tra-bao-hanh-tiki-seller,data\ecommerce-return-policy\doi-tra-bao-hanh-tiki-seller.md,Hướng dẫn quy trình xử lý đổi trả và bảo hành trên Tiki dành cho Nhà Bán,https://hocvien.tiki.vn/faq/huong-dan-quy-trinh-xu-ly-doi-tra-bao-hanh-mo-hinh-sd/,2026-09-20,not-stated,seller,warranty-policy,vi,public-source
doi-tra-bao-hanh-vinfast-buyer,data\ecommerce-return-policy\doi-tra-bao-hanh-vinfast-buyer.md,Chính sách bảo hành xe máy điện và Pin cho Khách hàng - VinFast,https://vinfastauto.com/vn_vi/chinh-sach-bao-hanh-xe-may-dien,2026-09-20,not-stated,buyer,warranty-policy,vi,public-source
